Postcode,Year,ftft,ftpt,ftaw,ftun,ftnotlf,ftunstated,ptpt,ptaw,ptun,ptnotlf,ptunstated,awaw,awun,awnotlf,awunstated,unun,unnotlf,ununstated,notlfnotlf,notlfunstated,unstatedunstated,ft,pt,aw,un,notlf,unstated
"2076, NSW",2011,695,956,115,80,629,76,87,22,19,70,44,20,3,16,12,3,18,8,51,44,3,175,115,8,15,99,4
"2077, NSW",2011,812,1187,152,137,942,83,149,46,51,150,52,32,5,41,12,19,49,9,81,42,16,326,244,20,55,199,11
"2079, NSW",2011,231,365,35,18,178,12,30,13,7,11,16,7,0,12,0,3,8,3,12,8,3,58,37,5,4,17,0
"2080, NSW",2011,36,80,4,3,41,9,5,0,0,0,5,3,0,0,0,0,3,0,0,0,0,11,16,0,0,5,0
"2081, NSW",2011,140,297,27,9,130,13,19,10,4,17,12,9,3,7,0,0,0,0,3,8,0,36,41,3,0,18,0
"2082, NSW",2011,154,311,27,11,104,9,22,13,3,25,13,3,0,5,3,0,7,0,0,6,0,48,31,3,7,24,0
"2083, NSW",2011,34,53,8,5,17,4,7,3,0,4,3,3,0,0,0,0,0,0,3,3,0,7,15,0,3,6,0
"2084, NSW",2011,98,180,17,7,62,3,24,4,3,16,8,3,0,0,0,0,0,3,6,3,3,18,25,0,0,10,0
"2085, NSW",2011,295,541,47,27,218,32,39,13,8,31,17,13,0,11,0,3,13,0,23,14,0,83,33,4,3,25,0
"2086, NSW",2011,389,757,61,52,307,32,52,24,6,32,41,22,3,10,6,0,5,0,24,27,7,89,68,8,7,39,3
"2087, NSW",2011,335,605,48,43,297,38,67,22,5,30,28,19,0,16,3,4,10,0,21,13,3,102,72,6,6,38,0
"2088, NSW",2011,521,745,94,68,856,76,74,23,22,92,52,27,4,31,11,6,19,9,55,82,4,211,143,13,25,118,3
"2089, NSW",2011,165,191,34,15,187,18,12,5,7,13,9,8,0,0,4,0,0,0,12,10,0,85,40,12,3,26,0
"2090, NSW",2011,207,299,62,34,266,31,28,15,10,31,15,9,4,13,6,0,11,0,11,18,0,104,36,3,6,36,0
"2092, NSW",2011,166,347,31,24,220,33,21,4,6,29,21,7,0,11,0,3,9,3,15,24,0,52,26,0,5,34,0
"2093, NSW",2011,451,1016,120,69,615,55,97,31,14,90,46,26,4,27,6,4,16,9,46,36,0,184,162,8,15,87,3
"2094, NSW",2011,109,183,27,10,130,16,23,6,3,20,4,16,0,3,4,0,3,0,5,7,3,44,36,0,3,15,0
"2095, NSW",2011,167,338,63,27,269,26,35,18,10,29,15,11,0,15,3,0,3,3,17,21,3,103,65,3,9,55,0
"2096, NSW",2011,244,547,82,23,320,32,47,14,9,28,26,16,3,7,4,4,8,0,19,20,0,99,89,11,22,42,3
"2097, NSW",2011,310,687,59,45,300,31,69,22,7,54,28,16,3,14,10,3,6,0,12,13,0,141,96,11,10,44,0
"2099, NSW",2011,791,1373,151,90,757,71,157,45,40,103,48,51,7,49,10,3,23,3,61,40,10,348,266,17,31,161,17
"2100, NSW",2011,477,936,105,51,426,57,76,24,12,57,38,28,0,24,3,3,9,3,30,18,4,162,109,14,10,69,0
"2101, NSW",2011,371,741,82,32,292,35,59,29,9,42,39,23,3,23,3,0,7,4,19,21,0,144,113,8,8,56,3
"2102, NSW",2011,168,311,32,22,147,3,38,3,3,18,17,15,0,12,3,0,0,0,4,3,0,51,56,4,3,24,0
"2103, NSW",2011,196,415,51,25,174,17,37,12,5,35,19,15,3,5,10,0,3,0,12,15,5,95,60,10,12,31,3
"2104, NSW",2011,54,99,7,12,54,9,18,6,0,10,3,0,0,6,4,0,5,0,9,0,0,16,9,3,3,0,0
"2105, NSW",2011,43,71,9,9,38,11,5,3,0,7,0,0,0,0,0,0,0,0,7,5,0,16,9,3,0,11,0
"2106, NSW",2011,179,411,40,17,175,33,46,12,6,18,21,10,0,11,3,0,0,0,10,15,3,64,63,11,10,33,0
"2107, NSW",2011,321,632,48,40,317,61,87,25,15,52,44,18,0,19,3,0,9,8,20,26,0,136,110,8,14,46,4
"2108, NSW",2011,16,57,3,0,28,5,8,0,0,8,7,4,0,0,0,0,0,0,3,8,0,10,9,0,0,11,0
"2109, NSW",2011,9,7,3,0,9,0,0,0,0,8,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0
"2110, NSW",2011,228,340,27,21,272,25,30,8,8,25,11,7,0,8,3,0,9,0,23,13,0,58,39,4,6,56,0
"2111, NSW",2011,322,511,61,38,274,37,52,20,9,25,16,16,3,11,0,0,6,0,29,10,8,114,71,11,12,53,4
"2112, NSW",2011,778,986,100,71,590,54,95,32,22,98,46,34,6,35,3,10,21,0,74,29,9,248,156,20,20,124,9
"2113, NSW",2011,447,562,66,52,306,39,54,19,4,38,17,22,0,20,9,3,20,0,44,19,0,125,87,12,18,64,0
"2114, NSW",2011,507,629,107,67,503,52,76,19,17,102,26,35,3,26,4,11,27,3,57,20,8,152,107,19,23,97,8
"2115, NSW",2011,228,276,48,22,204,21,30,9,12,42,11,14,0,16,0,7,14,4,43,13,8,67,57,3,12,105,3
"2116, NSW",2011,159,189,27,20,149,12,24,6,4,34,5,3,0,16,0,3,13,0,15,5,4,68,44,3,6,72,0
"2117, NSW",2011,466,581,73,53,461,43,79,25,14,90,18,26,4,31,3,6,20,3,98,20,6,154,112,11,23,161,8
"2118, NSW",2011,659,712,78,87,562,49,124,25,33,125,29,28,7,26,8,14,30,5,88,39,5,169,111,9,29,119,3
"2119, NSW",2011,388,534,39,31,251,32,49,15,8,33,18,13,0,3,4,3,10,3,21,18,3,76,40,8,4,27,0
"2120, NSW",2011,602,895,94,55,451,55,77,36,24,57,52,22,3,16,3,3,10,7,39,28,4,162,102,11,12,83,3
"2121, NSW",2011,758,877,88,98,649,83,118,16,27,107,51,24,5,33,8,12,28,3,73,38,3,198,103,12,30,118,3
"2122, NSW",2011,707,721,103,98,663,62,102,30,31,123,39,18,0,38,6,7,29,6,86,42,0,209,127,17,43,157,6
"2125, NSW",2011,556,711,76,56,423,48,69,23,18,49,38,22,3,22,0,3,15,3,46,24,5,93,65,10,12,48,0
"2126, NSW",2011,726,819,68,80,501,59,78,14,20,60,31,23,5,25,4,8,7,7,51,41,4,166,90,6,15,68,0
"2127, NSW",2011,236,200,51,21,222,18,26,4,4,38,8,7,0,16,0,0,8,3,14,12,5,70,32,5,4,35,0
"2128, NSW",2011,25,28,3,3,49,0,3,3,0,24,0,0,0,10,0,0,7,0,27,3,0,10,12,3,4,26,0
"2129, NSW",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2130, NSW",2011,138,177,31,9,103,16,20,4,13,17,10,8,0,8,3,3,3,0,8,3,0,58,46,5,3,29,0
"2131, NSW",2011,375,466,78,68,421,48,78,23,21,88,27,28,9,23,3,6,26,5,72,18,9,226,125,13,48,143,3
"2132, NSW",2011,249,350,48,27,191,30,52,8,8,46,16,13,0,25,5,8,9,4,37,13,3,86,49,10,15,51,0
"2133, NSW",2011,237,348,63,30,220,20,46,19,8,69,18,21,0,19,3,3,7,0,43,6,7,113,74,7,30,75,10
"2134, NSW",2011,247,218,26,31,222,23,30,8,12,67,15,3,3,13,4,10,7,0,59,21,10,86,56,7,21,111,4
"2135, NSW",2011,587,563,59,57,421,42,101,17,12,124,21,25,3,36,4,8,26,5,56,24,6,111,100,17,19,151,8
"2136, NSW",2011,199,191,28,23,138,13,23,3,5,48,5,7,0,7,3,0,4,3,24,11,3,49,35,3,14,51,3
"2137, NSW",2011,635,831,118,51,502,54,78,22,16,88,36,39,0,30,0,6,20,6,59,35,5,202,103,10,22,114,9
"2138, NSW",2011,305,369,46,37,334,28,27,17,12,41,15,16,3,22,10,3,9,0,47,20,3,116,54,8,12,56,3
"2139, NSW",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2140, NSW",2011,293,244,48,66,314,30,36,16,19,95,5,13,3,26,3,13,12,9,74,21,9,99,80,3,24,92,3
"2141, NSW",2011,537,392,58,98,653,48,117,28,34,241,20,24,0,60,7,18,68,6,283,40,31,166,134,19,48,237,9
"2142, NSW",2011,294,278,64,77,555,33,48,25,27,208,16,19,9,71,4,23,65,8,304,47,23,119,109,17,53,280,11
"2143, NSW",2011,168,106,18,21,190,9,17,4,3,59,15,7,0,18,0,7,26,0,87,3,7,55,47,0,13,119,5
"2144, NSW",2011,390,326,54,86,913,45,85,28,47,421,25,38,10,128,12,40,119,13,680,77,63,146,129,22,55,414,29
"2145, NSW",2011,2073,1795,284,378,1996,136,208,83,78,373,63,78,15,142,21,31,120,15,344,75,30,570,380,34,113,619,37
"2146, NSW",2011,464,507,68,68,388,29,55,13,16,84,11,21,3,24,5,15,16,0,51,8,4,151,111,10,20,111,7
"2147, NSW",2011,898,1065,150,121,807,71,94,35,33,164,46,44,9,47,5,14,33,3,111,31,18,314,219,29,75,352,22
